,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
34,Let It Go!,"Using Frost Walker boots, walk on frozen water over a deep ocean",Enchanting,Gotta Go Fast!,Step on Frosted Ice while wearing Frost Walker boots and in any Deep Ocean biome,-,"Known as ""Frozen"" until 1.3"
35,Complete Enchanter,Obtain every enchantment throughout your enchanting career,Enchanting,Let It Go!,Obtain the following enchantments on any items:,-,
36,Master Enchanter,Obtain every enchantment at their max level throughout your enchanting career,Enchanting,Complete Enchanter,"Obtain the following enchantments on any items: Protection IV, Fire Protection IV, Feather Falling IV, Blast Protection IV, Projectile Protection IV, Respiration III, 
Aqua Affinity, Thorns III, Swift Sneak III, Depth Strider III, Frost Walker II, Soul Speed III, Curse of Binding, Sharpness V, Smite V, Bane of Arthropods V, Knockback II, Fire Aspect II, 
Looting III, Sweeping Edge III, Efficiency V, Silk Touch, Unbreaking III, Fortune III, Power V, Punch II, Flame, Infinity, Lure III, Luck of the Sea III, Loyalty III, Riptide III, 
Impaling V, Channeling, Quick Charge III, Piercing IV, Multishot, Mending, Curse of Vanishing, Density V, Breach IV, Wind Burst III",-,
37,Heavy Metal,Craft an anvil,Enchanting,Enchanting,Obtain an anvil,-,"Known as ""Old Cartoon Joke"" until 1.5"
38,Baron of Blacksmiths,"Get a stack of regular, chipped and damaged Anvils",Enchanting,Heavy Metal,,-,
39,Curses!,Obtain both types of curses,Enchanting,Heavy Metal,Obtain Curses of Binding and Vanishing on any item(s),-,
40,Handmade Blinding,Wear a carved pumpkin enchanted with Curse of Binding,Enchanting,Curses!,,-,
41,This name sounds cooler,Name your Diamond Sword 'Diamond Edge',Enchanting,Heavy Metal,Hold the named item in your mainhand,-,
42,I'll be back,Name your bow 'Terminator',Enchanting,This name sounds cooler,Hold the named item in your mainhand,-,
43,God of Thunder,Name your Trident with Loyalty III and Channeling 'Mjolnir',Enchanting,I'll be back,Hold the named item in your mainhand,-,
44,Unbreakable,Obtain Mending on an item,Enchanting,Heavy Metal,,-,
45,Master Miner,Create a pickaxe with all possible enchantments at max level,Enchanting,Unbreakable,Obtain a Diamond or Netherite Pickaxe enchanted with:,-,
46,Master Digger,Create a shovel with all possible enchantments at max level,Enchanting,Master Miner,Obtain a Diamond or Netherite Shovel enchanted with:,-,
47,Master Axeman,Create an axe with all possible enchantments at max level,Enchanting,Master Digger,Obtain a Diamond or Netherite Axe enchanted with:,-,
48,Master Farmer,Create a hoe with all possible enchantments at max level,Enchanting,Master Axeman,Obtain a Diamond or Netherite Hoe enchanted with:,-,
49,Master Knight,Create a sword with all possible enchantments at max level,Enchanting,Unbreakable,Obtain a Diamond or Netherite Sword enchanted with:,-,
50,Master Sniper,Create a bow with all possible enchantments at max level,Enchanting,Master Knight,Obtain a Bow enchanted with:,-,
51,Master Arbalist,Create a crossbow with all possible enchantments at max level,Enchanting,Master Sniper,Obtain a Crossbow enchanted with:,-,
52,Master Armorer,Create a full suit of armor with all possible enchantments at max level,Enchanting,Master Arbalist,Obtain the following items with the following enchantments:Diamond or Netherite Helmet:Diamond or Netherite Chestplate:Diamond or Netherite Leggings:Diamond or Netherite Boots:,-,
53,Master Fisher,Create a fishing rod with all possible enchantments at max level,Enchanting,Unbreakable,Obtain a Fishing Rod enchanted with:,-,
54,Master Tridenteer,Create a trident with all possible enchantments at max level,Enchanting,Master Fisher,Obtain a Trident enchanted with:,-,
55,Master Macerator,Create a mace with all possible enchantments at max level,Enchanting,Master Tridenteer,Obtain a Mace enchanted with:,-,
