,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
87,The Terracotta Army,Craft all 16 colors of terracotta (stained clay),Building,Pot Planter,,-,
88,The Glazed Terracotta Army,Craft all 16 colors of glazed terracotta,Building,The Terracotta Army,,-,
89,Rock Collection,Collect all the types of rocks,Building,Building,"Obtain cobblestone, granite, andesite, diorite, tuff, calcite, dripstone block, cobbled grimstone and smooth basalt",-,
90,Rock Polish,Craft every type of polished block,Building,Rock Collection,"Obtain polished andesite, diorite, granite, deepslate, tuff, basalt and blackstone",-,
91,Fake stronghold,"Craft or collect all forms of normal, cracked, mossy and chiseled stone bricks",Building,Rock Polish,"Obtain stone brick and mossy stone brick blocks, slabs, stairs and walls, and cracked and chiseled stone bricks",-,
92,Jailhouse Block,Craft or find iron bars,Building,Fake stronghold,,-,
93,Creepers and Withers,Engrave sandstone with creeper and wither patterns,Building,Jailhouse Block,Obtain chiseled sandstone and chiseled red sandstone,-,
94,"Built on Sand, Set in Stone",Craft or collect a stack of all forms of Sandstone and Red Sandstone,Building,Creepers and Withers,Obtain a stack of:,-,
95,Tuff Stuff,"Craft or collect all forms of Tuff, Polished Tuff, and Tuff Bricks",Building,Fake stronghold,Obtain:,-,
96,Deepslate Conspiracy,"Craft all forms of Deepslate, Polished Deepslate, Deepslate Bricks and Deepslate Tiles",Building,Tuff Stuff,Obtain:,-,
97,Fake monument,Craft or collect all forms of prismarine blocks,Building,Deepslate Conspiracy,"Obtain prismarine, dark prismarine and prismarine brick blocks, slabs, stairs, and prismarine walls",-,
98,Fake fortress,Craft or collect all forms of nether brick and red nether brick,Building,Fake stronghold,See requirement notes below,-,
99,"No Chain, No Gain",Craft an Iron Chain using an Iron Ingot and Iron Nuggets,Building,Fake fortress,,-,
100,Blackstonehenge,"Craft or collect all forms of Blackstone, Polished Blackstone and Polished Blackstone Bricks",Building,"No Chain, No Gain","Obtain: Blackstone, Polished Blackstone and Polished Blackstone Brick blocks, slabs, stairs, and walls; Cracked Polished Blackstone Bricks,
Chiseled Polished Blackstone and Gilded Blackstone",-,
101,Greek Art Decor,Craft all forms of quartz blocks,Building,Blackstonehenge,"Obtain quartz and smooth quartz blocks, slabs and stairs, quartz pillars and bricks and chiseled quartz blocks",-,
102,Its original form,Use your furnace to smelt cobblestone back into stone,Building,Rock Collection,Obtain a block of stone,-,
103,"Smooth, dude!",Smelt normal stone further into smooth stone,Building,Its original form,,-,
104,Blast it!,Upgrade your furnace to a blast furnace using iron and smooth stone for smelting ores quicker,Building,"Smooth, dude!",,-,
105,Mannequin,Craft an armor stand for displaying your armor,Building,"Smooth, dude!",Obtain an armor stand,-,
106,Living Dummy,Get killed from hitting an Armor Stand,Building,Mannequin,Get killed by thorns damage from an Armor Stand that is equipped with Thorns-enchanted armor,-,
107,Armor Display,Put every full set of armor on different armor stands,Building,Living Dummy,Place a full suit of each tier of armor on an armor stand,-,
108,Sharpening Station,"Craft a grindstone using a stone slab, planks and sticks for repairing tools",Building,Its original form,,-,
109,Classic Pocket Edition Block,Craft a stonecutter using stone and an iron ingot,Building,Sharpening Station,,-,
110,Agent Smithing Table,Craft a smithing table,Building,Classic Pocket Edition Block,,-,"Known as ""Not for creating copies of yourself"" until 1.9"
111,"Bubble, Bubble, Toil and Trouble!",Fill a cauldron using a bucket,Building,Agent Smithing Table,,-,
112,Hot Tub,Sit in a cauldron filled with lava,Building,"Bubble, Bubble, Toil and Trouble!",Enter a lava cauldron,-,
113,Washing Machine,"Use a cauldron to clean leather armor, a banner and a shulker box",Building,"Bubble, Bubble, Toil and Trouble!",,-,
