,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
30,Deep Slate Nine,Mine deep enough that the stone darkens,Mining,Heart of Darkness,Go below y-level 5.5 in the Overworld,-,
31,Rock Bottom,Dig down to the bottom of the world,Mining,Deep Slate Nine,Go below y-level -59.5 in the Overworld,-,
32,Bottom to Top,Place every cave block at the very top of the world,Mining,Rock Bottom,Place at y-level 319:,-,
33,Sneak 100,Sneak near something in the Deep Dark to prevent being heard,Mining,Deep Slate Nine,"Sneak in a way that you avoid making a vibration near a Sculk Sensor, Shrieker, or Warden",-,
34,It spreads!,Kill a mob near a Sculk Catalyst,Mining,Sneak 100,,-,
35,Shriek Forever After,Trigger a Sculk Shrieker in the Deep Dark. Might not want to do that too many more times…,Mining,It spreads!,Receive the Darkness effect,-,
36,Fallen Kingdom,Find and enter an Ancient City deep underground,Mining,Shriek Forever After,,-,
37,Frigid Diversions,Loot a chest inside an ice box in an Ancient City,Mining,Fallen Kingdom,Generate the loot of an ancient city ice box chest (i.e. you must be the first to open it),-,
38,Death Pointer,"Using Echo Shards found in Ancient Cities, craft a Recovery Compass",Mining,Fallen Kingdom,Obtain a Recovery Compass,-,
39,9 to 5,Collect enough Disc Fragments to craft another producer of mysterious sounds,Mining,Death Pointer,Obtain Music Disc 5,-,
40,Echonomy,Collect a stack of Echo Shards,Mining,Death Pointer,,-,
41,Getting an Upgrade,Construct a better pickaxe,Mining,Stone Age,Obtain a stone pickaxe,-,
42,MOAR Tools,"Craft a stone pickaxe, axe, shovel and hoe",Mining,Getting an Upgrade,,-,
43,Aww it broke!,Break your first tool,Mining,MOAR Tools,,-,
44,Chestful of Cobblestone,"Mine 1728 cobblestone, place it in a chest, then stand on it in victory",Mining,MOAR Tools,27 stacks of 64 cobblestone in a single chest. You must stand on top of the chest,-,
45,Bulldozer,"Destroy a total of 10,000 blocks of stone",Mining,Chestful of Cobblestone,"Mine a total of 10,000 blocks of stone",-,
46,Fossil Fuel,Coal! As in dead dinosaurs!,Mining,Getting an Upgrade,Obtain coal,-,
47,Coal Miner,Mine a stack of coal,Mining,Fossil Fuel,,-,
48,Master Coal Miner,Mine enough coal to make a stack of coal blocks,Mining,Coal Miner,,-,
49,Hot Topic,Construct a furnace out of eight stone blocks,Mining,Fossil Fuel,,-,
50,Renewable Energy,Smelt wood trunks using charcoal to make more charcoal,Mining,Hot Topic,Smelt charcoal,-,
51,Smokin' Hot,Upgrade your furnace to a smoker using some logs,Mining,Renewable Energy,,-,
52,Coppers and Robbers,Smelt a Copper Ingot,Mining,Renewable Energy,Obtain a Copper Ingot,-,
53,Copper Age,Craft a slightly better pickaxe,Mining,Coppers and Robbers,Obtain a Copper Pickaxe,-,
54,Copper Miner,Mine a stack of Raw Copper,Mining,Copper Age,,-,
55,Copper Golem Overlord,Wear a full suit of Copper Armor while surrounded by at least ten living Copper Golems,Mining,Copper Miner,The Copper Golems must all be within 10 blocks of you,-,
56,Master Copper Miner,Mine enough copper to make a stack of Copper Blocks,Mining,Copper Golem Overlord,"Obtain 64 unoxidized, unwaxed Blocks of Copper",-,
57,Budget Channeling,Craft a Lightning Rod using Copper Ingots,Mining,Coppers and Robbers,Obtain any kind of lightning rod,-,
58,Surge Protector,Protect a villager from an undesired shock without starting a fire,Mining,Budget Channeling,Have lightning strike a lightning rod with a villager standing at a safe distance away,-,lightning_rod_with_villager_no_fire is a hilarious internal name
59,Called Shot,Get struck by lightning while standing on a Lightning Rod,Mining,Surge Protector,,-,
60,Conductive Conglomerate,"Collect a stack of every oxidizing stage of Lightning Rods, including all of their waxed variants",Mining,Called Shot,"Normal, Exposed, Weathered and Oxidized, as well as all their waxed variants",-,
61,Beep Bop,Build a Copper Golem,Mining,Coppers and Robbers,,-,
62,Wax Treatment,Apply Honeycomb to a Copper Golem to stop it from oxidizing,Mining,Beep Bop,Use Honeycomb on a Copper Golem,-,
63,Total Copout,Smash a living Copper Golem into scrap,Mining,Wax Treatment,Kill a Copper Golem,-,
64,The Statue of Liberty,"Have a Copper Golem completely oxidize into a statue, then mine it",Mining,Total Copout,Obtain either an Oxidized Copper Golem Statue or Waxed Oxidized Copper Golem Statue,-,Formerly required just obtaining any kind of Oxidized Copper until 1.20 Alpha Build 1
65,Such a poser,Cycle a Copper Golem Statue through all its poses,Mining,The Statue of Liberty,"The poses are: Standing, Sitting, Running and Star",-,
66,Statue of Limitations,"Collect a stack of every oxidizing stage of Copper Golem Statues, including all of their waxed variants",Mining,Such a poser,"Normal, Exposed, Weathered and Oxidized, as well as all their waxed variants",-,
67,Don’t Come a Copper!,Craft some Cut Copper,Mining,Coppers and Robbers,"Obtain any block with the word ""Cut Copper"" in it (so it can be any oxidisation state, can be waxed, and can be a slab or stairs)",-,
68,Grate Expectations,Craft or obtain a Copper Grate,Mining,Don’t Come a Copper!,,-,
69,Wax On,"Use Honeycombs to wax a Copper Block, preventing it from oxidising",Mining,Grate Expectations,Use a honeycomb on any unwaxed copper block OR craft any waxed copper block by adding honeycomb to an unwaxed copper block in the crafting table,-,"Formerly an original advancement named ""Wax On, Wax Off"" before vanilla added it"
70,Wax Off,Use an axe to scrape wax off of a Copper Block,Mining,Wax On,Use an axe on any waxed copper block,-,
71,D. B. Copper,"Collect a stack of every oxidizing stage of Copper Chests, including all of their waxed variants",Mining,Wax Off,"Normal, Exposed, Weathered and Oxidized, as well as all their waxed variants",-,
72,Life Sentence,"Collect a stack of every oxidizing stage of Copper Bars, including all of their waxed variants",Mining,D. B. Copper,"Normal, Exposed, Weathered and Oxidized, as well as all their waxed variants",-,
73,Chain Gang,"Collect a stack of every oxidizing stage of Copper Chains, including all of their waxed variants",Mining,Life Sentence,"Normal, Exposed, Weathered and Oxidized, as well as all their waxed variants",-,
74,Gratest of All Time,"Collect a stack of every oxidizing stage of Copper Grates, including all of their waxed variants",Mining,Chain Gang,"Normal, Exposed, Weathered and Oxidized, as well as all their waxed variants",-,
75,Green Lanterns,"Collect a stack of every oxidizing stage of Copper Lanterns, including all of their waxed variants",Mining,Wax Off,"Normal, Exposed, Weathered and Oxidized, as well as all their waxed variants",-,
76,Copper Computer,"Collect a stack of every oxidizing stage of Copper Bulbs, including all of their waxed variants",Mining,Green Lanterns,"Normal, Exposed, Weathered and Oxidized, as well as all their waxed variants",-,
77,School of Hard Knocks,"Collect a stack of every oxidizing stage of Copper Doors and Trapdoors, including all of their waxed variants",Mining,Copper Computer,"Normal, Exposed, Weathered and Oxidized, as well as all their waxed variants",-,
78,Sly Copper: The Copper Heist,"Collect a stack of every oxidizing stage of Copper Blocks, Chiseled Copper, and Cut Copper Blocks, Slabs and Stairs, including all of their waxed variants",Mining,School of Hard Knocks,Obtain a stack of:,-,
79,Acquire Hardware,Smelt an iron ingot,Mining,Renewable Energy,Obtain an iron ingot,-,
80,Not Chicken McNuggets?,Craft or find iron nuggets,Mining,Acquire Hardware,,-,
81,Isn't It Iron Pick,Upgrade your pickaxe,Mining,Acquire Hardware,Obtain an iron pickaxe,-,
82,Suit Up,Protect yourself with a piece of iron armor,Mining,Isn't It Iron Pick,"Wear either an iron helmet, chestplate, leggings, or boots",-,
83,Iron Man,Wear a full suit of iron armor,Mining,Suit Up,"Wear an iron helmet, chestplate, leggings, and boots at the same time",-,
84,Iron Miner,Mine a stack of Raw Iron,Mining,Iron Man,,-,
85,Master Iron Miner,Mine enough iron to make a stack of iron blocks,Mining,Iron Miner,,-,
86,Gold Rush,Strike gold and smelt it into a gold ingot,Mining,Isn't It Iron Pick,Obtain a gold ingot,-,
87,Living Like Kings,Make yourself shiny with golden armor,Mining,Gold Rush,"Wear either a golden helmet, chestplate, leggings or boots",-,
88,The Mistake!,Put Mending on a piece of golden armor and realise what you are doing in life,Mining,Living Like Kings,"Obtain a golden helmet, chestplate, leggings or boots enchanted with Mending",-,
89,Gold Miner,Mine a stack of Raw Gold,Mining,Living Like Kings,,-,
90,Master Gold Miner,Mine enough gold to make a stack of gold blocks,Mining,Gold Miner,,-,
91,Bling Bling Gone,"Completely use up a golden pickaxe, and then seriously reevaluate your life choices",Mining,Living Like Kings,Break a golden pickaxe,-,
92,We've broken our last shovel,Break every kind of shovel,Mining,Bling Bling Gone,,-,
93,MOAR Broken Tools,Break every single tool and weapon in the game,Mining,We've broken our last shovel,Break the following tools:,-,
94,Where are all your clothes?,Break every type of armor piece in the game,Mining,We've broken our last shovel,Break the following pieces of armor:,-,
95,"DIAM- oh, wait, no.",It's still useful for enchanting,Mining,Isn't It Iron Pick,Obtain lapis lazuli,-,
96,Lapis Lazuli Miner,Mine enough lapis lazuli to craft a stack of lapis lazuli blocks,Mining,"DIAM- oh, wait, no.",,-,
97,Seeing Red,Mine some redstone from the deepest caves,Mining,Isn't It Iron Pick,Obtain redstone dust,-,
98,The way to spawn,Craft a compass in case you forgot where spawn is,Mining,Seeing Red,Obtain a compass,-,
99,Get a Lode Of This!,Craft a Lodestone using Chiseled Stone Bricks and an Iron Ingot,Mining,The way to spawn,,-,This advancement and the two below were moved from the Nether tab to the Mining tab in 1.18.2 Beta Build 1
100,"Country Lode, Take Me Home",Use a Compass on a Lodestone,Mining,Get a Lode Of This!,Obtain a Lodestone Compass,-,"Known as ""Sith Wayfinder"" before added as a vanilla advancement in 1.10 Beta Build 10"
101,Lodes of Applications,Create a Lodestone Compass in all three dimensions,Mining,"Country Lode, Take Me Home",Use a compass on a lodestone in all three dimensions (not all at the same time),-,
102,"What's the time, Mr Wolf?","Time to clean your clocks! (Or, craft them!)",Mining,The way to spawn,Obtain a clock,-,
103,Redstone Miner,Mine enough redstone to craft a stack of redstone blocks,Mining,"What's the time, Mr Wolf?",,-,
104,G.I. Geode,Find an Amethyst Geode and mine an Amethyst Cluster,Mining,Isn't It Iron Pick,Obtain an amethyst shard,-,
105,Good For Your Bones,Mine some Calcite encasing an Amethyst Geode,Mining,G.I. Geode,Obtain calcite,-,
106,Galileo Figaro,Zoom in on something using a Spyglass,Mining,G.I. Geode,Zoom in using a spyglass,-,
107,Blackout,Craft Tinted Glass using Glass and Amethyst Shards and use it to block out light,Mining,Galileo Figaro,Place tinted glass,-,
108,Amethyst Miner,"Mine a stack of Amethyst Blocks, Amethyst Clusters, and every size of Amethyst Bud",Mining,Blackout,"Obtain 64 Amethyst Blocks, Clusters, and Small, Medium and Large Amethyst Buds",-,
109,Diamonds!,Acquire diamonds,Mining,Isn't It Iron Pick,,-,
110,Iconic Merchandising Prop,Create a pickaxe of the highest calibre,Mining,Diamonds!,Obtain a diamond pickaxe,-,
111,Stabcraft,Do you like my sword sword,Mining,Iconic Merchandising Prop,Obtain a diamond sword,-,
112,Even MOAR Tools,Craft a full diamond tools set,Mining,Stabcraft,"Craft a diamond pickaxe, shovel, axe and hoe",-,
113,Rest in Pickaxes,Break your first diamond pickaxe,Mining,Even MOAR Tools,,-,
114,Cover Me With Diamonds,Diamond armor saves lives,Mining,Iconic Merchandising Prop,"Wear either a diamond helmet, chestplate, leggings, or boots",-,
115,Diamond Clad,A full suit of diamond armor saves even more lives,Mining,Cover Me With Diamonds,"Wear a diamond helmet, chestplate, leggings, and boots at the same time",-,
116,Diamond Miner,Mine a stack of diamonds. Good luck!,Mining,Diamond Clad,,-,
117,Diamonds to you!,Throw diamonds at another player or mob,Mining,Diamond Miner,Throw a diamond and have any other entity pick it up,-,
118,Mineral Collection,Craft every type of mineral block,Mining,Diamond Miner,Obtain a block of:,-,
119,Master Diamond Miner,Mine enough diamond to make a stack of diamond blocks,Mining,Mineral Collection,,-,
120,Mr. Bean,"Mine and craft a stack of Raw Iron, Copper and Gold Blocks",Mining,Mineral Collection,,-,
121,Emerald Miner,Mine a stack of raw emerald ore,Mining,Diamond Miner,Obtain 64 Emerald Ore or 64 Deepslate Emerald Ore,-,
122,Oresome!,Mine a stack of every ore block,Mining,Emerald Miner,Obtain a stack of:Deepslate Emerald Ore is not required,-,
123,Hot Stuff,Fill a bucket with lava,Mining,Iconic Merchandising Prop,Obtain a lava bucket,-,
124,Ice Bucket Challenge,Form and mine a block of Obsidian,Mining,Hot Stuff,Obtain a block of obsidian,-,
125,Enchanter,Craft an enchanting table,Mining,Ice Bucket Challenge,,-,
126,We Need to Go Deeper,"Build, light and enter a Nether Portal",Mining,Ice Bucket Challenge,Enter a nether portal block,-,
127,Obsidian Miner,Mine a stack of obsidian. (This might take a while...),Mining,We Need to Go Deeper,,-,
