,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
95,Lilypad Hatter,Breed and trade with a swamp villager,Adventure,The Tribal Villagers,,-,
96,Star Trader,Trade with a villager at the build height limit,Adventure,Lilypad Hatter,"Trade with a villager who is standing at y-level 319 or higher in the Overworld, or y-level 255 or higher in the Nether or End",-,"Known as ""Council of Crafters"" until added in vanilla in 1.13 Alpha Build 1"
97,Master Trader,Trade with every type of villager career at master level,Adventure,Lilypad Hatter,See requirement notes below,-,
98,Knowledge is Power,Trade for an Enchanted Book,Adventure,What a Deal!,,-,
99,Rare Candy Shop,Trade for a Bottle o’ Enchanting from a Cleric,Adventure,Knowledge is Power,,-,
100,All chained up,Trade for a piece of chain armor from an armorer villager,Adventure,Knowledge is Power,,-,
101,Retro Future Knight,Trade for full suit of chain armor from an armorer villager,Adventure,All chained up,,-,
102,Mapmaker,Craft or trade an empty map,Adventure,Knowledge is Power,Obtain an empty map,-,
103,Mapmaker's Table,Craft a cartography table with paper and planks,Adventure,Mapmaker,Obtain a cartography table,-,
104,I'm not lost anymore!,Right-click a banner with a map,Adventure,Mapmaker's Table,,-,
105,Map Room,Place a map in an item frame,Adventure,I'm not lost anymore!,,-,
106,Treasure Map,Trade for an Explorer Map,Adventure,Mapmaker,,-,
107,All Around the World,Buy every kind of Explorer Map that can be bought from Cartographers,Adventure,Treasure Map,"Obtain the following maps: Plains Village Map, Desert Village Map, Savanna Village Map, Snowy Village Map, Taiga Village Map, Swamp Explorer Map, Jungle Explorer Map, Trial Explorer Map, Ocean Explorer Map, Woodland Explorer Map",-,
108,Monumental,Find an Ocean Monument,Adventure,Treasure Map,,-,
109,Laser Sharks!,Defeat a Guardian,Adventure,Monumental,,-,
110,Spear Fishing,Kill a Guardian with arrows,Adventure,Laser Sharks!,,-,
111,Guardian Destroyer,Collect a stack of prismarine shards and crystals,Adventure,Spear Fishing,,-,
112,The Deep End,Defeat an Elder Guardian,Adventure,Laser Sharks!,,-,
113,Dry Spell,Dry a sponge in a furnace,Adventure,The Deep End,Obtain a (Dry) Sponge,-,
114,Sponge Miner,Collect a stack of sponges from ocean monuments,Adventure,Dry Spell,Obtain 64 (Dry) Sponges,-,
115,House of Psychos,Find a Woodland Mansion,Adventure,Treasure Map,,-,
116,Heeere's Johnny!,Kill a Vindicator in a Woodland Mansion,Adventure,House of Psychos,Kill a Vindicator that is within the bounding-box of a Woodland Mansion,-,
117,The Shielding,A shield does no better than a locked door,Adventure,Heeere's Johnny!,Block a Vindicator's attack with a shield,-,
118,Ghostbuster!,Bust a Vex summoned by an Evoker,Adventure,The Shielding,,-,
119,Wololo!,Defeat an Evoker in a Woodland Mansion,Adventure,Ghostbuster!,Kill an Evoker that is within the bounding-box of a Woodland Mansion,-,
120,Postmortal,Use a Totem of Undying to cheat death,Adventure,Wololo!,,-,"Known as ""Saved!"" until 0.3"
121,Minecraft: Trial(s) Edition,Step foot in a Trial Chamber,Adventure,Treasure Map,,-,
122,This will be a breeze!,Famous last words. Get killed by a Breeze,Adventure,Minecraft: Trial(s) Edition,,-,
123,Break Wind,Defeat a Breeze in the Trial Chambers,Adventure,This will be a breeze!,Defeat a Breeze,-,
124,Who Needs Rockets?,Use a Wind Charge to launch yourself upward at least 8 blocks,Adventure,Break Wind,Be launched upward at least 8 blocks from a player-thrown Wind Charge,-,
125,Breeze Suppressor,Defeat enough Breezes to collect a stack of Breeze Rods,Adventure,Who Needs Rockets?,Obtain 64 Breeze Rods,-,
126,From Under Your Feet,Throw a Wind Charge at a mob that is standing on top of a trapdoor,Adventure,Who Needs Rockets?,The Wind Charge must hit the mob and damage it,-,
127,Blowback,Kill a Breeze with a deflected Wind Charge,Adventure,From Under Your Feet,Hit a breeze-fired Wind Charge back at a Breeze such that it kills it. Note: They only do half a heart of damage,-,
128,Under Lock and Key,Unlock a Vault using a Trial Key,Adventure,Minecraft: Trial(s) Edition,,-,
129,Hard Mode Activated,Drink an Ominous Bottle in a Trial Chamber to cast a greater challenge,Adventure,Under Lock and Key,Get the Trial Omen effect,-,
130,Revaulting,Unlock an Ominous Vault with an Ominous Trial Key,Adventure,Hard Mode Activated,,-,
131,Vault Hunter,Unlock 25 Vaults across Trial Chambers,Adventure,Revaulting,This counts both Vaults and Ominous Vaults,-,
132,Keys to Success,Collect a stack of all kinds of keys,Adventure,Vault Hunter,Obtain 64 Trial Keys and 64 Ominous Trial Keys,-,
133,Tricky Treasures,Collect every kind of treasure item that can only be found in Trial Chambers,Adventure,Revaulting,"Obtain the following items: Music Disc Creator, Music Disc Creator (Music Box), Music Disc Precipice, Flow Banner Pattern, Guster Banner Pattern, Flow Pottery Sherd, Guster Pottery Sherd, Scrape Pottery Sherd, Bolt Smithing Template, Flow Smithing Template, Heavy Core",-,
134,Omniscient,Collect a stack of one tier of Ominous Bottles,Adventure,Tricky Treasures,"Obtain 64 Ominous Bottles of a single kind, so that they stack into a single slot",-,
135,Core Keeper,Obtain a stack of Heavy Cores,Adventure,Omniscient,Obtain 64 Heavy Cores,true,
